#category,surv_fields,solr_schema,attribute,array(Y/N)
,Trimester_of_Pregnancy,trimester_of_pregnancy,,N
,Breastfeeding,breastfeeding,,N
,Hospitalized,hospitalized,,N
,Hospitalization_Duration,hospitalization_duration,,N
,Intensive_Care_Unit,intensive_care_unit,,N
,Chest_Imaging_Interpretation,chest_imaging_interpretation,,N
,Ventilation,ventilation,,Y
,Oxygen_Saturation,oxygen_saturation,,N
,ECMO,ecmo,,N
,Dialysis,dialysis,,N
,Disease_Status,disease_status,,N
,Disease_Outcome,disease_status,,N
,Days_Elapsed_to_Disease_Status,days_elapsed_to_disease_status,,N
,disease_severity,disease_severity,,N
,Alcohol_or_Other_Drug_Dependence,alcohol_or_other_drug_dependence,,N
,Tobacco_Use,tobacco_use,,N
,Packs_Per_Day_for_How_Many_Years,packs_per_day_for_how_many_years,,N
,Chronic_Conditions,chronic_conditions,,Y
,Maintenance_Medication,maintenance_medication,,N
,Types_of_Allergies,types_of_allergies,,N
,Influenza_Like_Illness_Over_the_Past_Year,influenza_like_illness_over_the_past_year,,N
,Infections_Within_Five_Years,infections_within_five_years,,N
,Human_Leukocyte_Antigens,human_leukocyte_antigens,,N
Symptoms/Diagnosis,Abdominal_Pain,symptoms,Abdominal_Pain,Y
,Anosmia,symptoms,Anosmia,Y
,Chills,symptoms,Chills,Y
,Conjunctivitis,symptoms,Conjunctivitis,Y
,Cough,symptoms,Cough,Y
,Cyanosis,symptoms,Cyanosis,Y
,Diarrhea,symptoms,Diarrhea,Y
,Fever,symptoms,Fever,Y
,Headache,symptoms,Headache,Y
,Influenza_Like_Illness,symptoms,Influenza_Like_Illness,Y
,Loss_of_Appetite,symptoms,Loss_of_Appetite,Y
,Malaise,symptoms,Malaise,Y
,Myalgia,symptoms,Myalgia,Y
,Nasal_Congestion,symptoms,Nasal_Congestion,Y
,Nausea,symptoms,Nausea,Y
,Odynophagia,symptoms,Odynophagia,Y
,Other_Symptoms,symptoms,Other_Symptoms,Y
,Runny_Nose,symptoms,Runny_Nose,Y
,Shortness_of_Breath,symptoms,Shortness_of_Breath,Y
,Sore_Throat,symptoms,Sore_Throat,Y
,Vomiting,symptoms,Vomiting,Y
,Wheezing,symptoms,Wheezing,Y
,WHO_COVID_Disease_Severity,symptoms,WHO_COVID_Disease_Severity,Y
,diagnosis,diagnosis,,Y
,sudden_onset,sudden_onset,,N
,onset_hours,onset_hours,,N
,post_visit_medications,post_visit_medications,,Y
,pre_visit_medications,pre_visit_medications,,N
Treatment,Vasoactive_Treatment_Type,treatment_type,,Y
,Antiviral_Treatment_Type,treatment_type,,Y
,Antiviral_Treatment,treatment,,Y
,Vasoactive_Treatment,treatment,,Y
,Other_Treatments,additional_metadata,Other_Treatments,Y
,Initiation_of_Antiviral_Treatment,initiation_of_treatment,,Y
,Initiation_of_Vasoactive_Treatment,initiation_of_treatment,,Y
,Duration_of_Antiviral_Treatment,duration_of_treatment,,Y
,Duration_of_Vasoactive_Treatment,duration_of_treatment,,Y
,Treatment_Dosage,treatment_dosage,,Y
,Vasoactive_Treatment_Dosage,treatment_dosage,,Y
Vaccination,Influenza_Vaccination_Type,vaccination_type,,N
,Days_Elapsed_to_Influenza_Vaccination,days_elapsed_to_vaccination,,Y
,Source_of_Above_Vaccine_Information,source_of_vaccine_information,,Y
,Vaccine_Dosage,vaccine_dosage,,Y
,Vaccine_Lot_Number,vaccine_lot_number,,Y
,Vaccine_Manufacturer,vaccine_manufacturer,,Y
,Other_Vaccinations,other_vaccinations,,N
Other_Data,Scientific_Name,additional_metadata,,N
,CREATE_DATE,additional_metadata,Create_date,Y
,FILE_NAME,additional_metadata,File_name,Y
,Taxon_ID,additional_metadata,Taxon_ID,Y
,Taxon_Lineage_IDs,taxon_lineage_ids,,Y
,Comments,comments,,Y
